"","logFC","AveExpr","t","P.Value","adj.P.Val","B","diffexpressed","labels"
"hsa-mir-330",1.44793329123546,0.859621763034399,6.36863286227721,1.20329441257806e-08,3.38125729934436e-06,9.56509140514947,"Significantly upregulated","hsa-mir-330"
"hsa-mir-572",-1.35464332952957,4.75827339461335,-6.22643956759225,2.21102322363632e-08,6.21297525841806e-06,8.97794132882801,"Significantly downregulated","hsa-mir-572"
"hsa-mir-331",1.18373923932289,-7.37689891459718,6.03490009609115,4.98540489949739e-08,1.40089877675877e-05,8.19388484745287,"Significantly upregulated","hsa-mir-331"
"hsa-mir-149",1.58552877156333,-6.47306791459718,6.01031537508611,5.53062091609762e-08,1.55410447742343e-05,8.09385730510975,"Significantly upregulated","hsa-mir-149"
"hsa-mir-152",1.51331959287481,-2.16036094749192,6.00766707566932,5.59275447776593e-08,1.57156400825223e-05,8.08309079303325,"Significantly upregulated","hsa-mir-152"
"hsa-miR-488",1.61739747643765,0.983243333823872,5.87437953431713,9.79288740526931e-08,2.75180136088068e-05,7.54343746588537,"Significantly upregulated","hsa-miR-488"
"hsa-mir-650",-1.76117634155143,2.11751089461335,-5.69784076613851,2.04294372215287e-07,5.74067185924957e-05,6.83573808742437,"Significantly downregulated","hsa-mir-650"
"hsa-miR-638",-1.1045653068001,2.97492960289592,-5.54094006397148,4.00556646012115e-07,0.000112556417529404,6.19180991799047,"Significantly downregulated","hsa-miR-638"
"hsa-mir-92",-1.20756990056782,-7.47683071722876,-5.52221975416699,4.21130152435411e-07,0.00011833757283435,6.1403739492485,"Significantly downregulated","hsa-mir-92"
"hsa-mir-148b",1.08259083659065,-0.220192579070865,5.49870204755876,4.63663836203943e-07,0.000130289537973308,6.04795184937857,"Significantly upregulated","hsa-mir-148b"
"hsa-mir-190",2.29134561254694,0.913987999876504,5.36746471822586,7.90862795814142e-07,0.000222232445623774,5.53537357288869,"Significantly upregulated","hsa-mir-190"
"hsa-mir-30e-3p",1.19621213081239,-1.59560935210178,5.27458063761088,1.20473088804745e-06,0.000338529379541334,5.13832492021803,"Significantly upregulated","hsa-mir-30e-3p"
"hsa-mir-601",-1.18134299838203,4.89023627619229,-5.16382837413082,1.79215243506301e-06,0.000503594834252706,4.75124850817011,"Significantly downregulated","hsa-mir-601"
"hsa-mir-19a",-1.12522236122356,-4.13481105275507,-5.07310650227757,2.56898158591181e-06,0.000721883825641217,4.40658346998629,"Significantly downregulated","hsa-mir-19a"
"hsa-mir-324-5p",1.08109638666107,-5.30286916253968,5.01862470506151,3.24752366993376e-06,0.000912554151251387,4.18558640750554,"Significantly upregulated","hsa-mir-324-5p"
"hsa-mir-153",1.79322172730104,3.00785496040282,4.93595939707572,4.40382412898444e-06,0.00123747458024463,3.89134011550468,"Significantly upregulated","hsa-mir-153"
"hsa-mir-30a-3p",1.06742519833929,-1.87326609222876,4.82107821690842,6.88061850310138e-06,0.00193345379937149,3.46536772637976,"Significantly upregulated","hsa-mir-30a-3p"
"hsa-mir-520b",-1.26520557404997,9.77518813430079,-4.6879893767162,1.36425354069984e-05,0.00383355244936656,2.86237812222597,"Significantly downregulated","hsa-mir-520b"
"hsa-mir-323",2.48692407731064,-2.50493588778542,4.6623388993211,1.39391368026312e-05,0.00391689744153936,2.844367251599,"Significantly upregulated","hsa-mir-323"
"hsa-mir-148a",1.7251536245688,-2.19583369749192,4.63504060148597,1.4022540471793e-05,0.00394033387257383,2.78704744771256,"Significantly upregulated","hsa-mir-148a"
"hsa-mir-26b",0.772006489596119,-6.44890044091297,4.61784108136762,1.49662190058321e-05,0.00420550754063882,2.72508216052262,"Significantly upregulated","hsa-mir-26b"
"hsa-mir-26a",0.92708063495131,-9.37503698038665,4.58538734487304,1.69176985844914e-05,0.00475387330224209,2.60851416312204,"Significantly upregulated","hsa-mir-26a"
"hsa-mir-181a",-1.57059436340935,-2.54231355275508,-4.50204903749931,2.31293192293198e-05,0.00649933870343887,2.31133273738683,"Significantly downregulated","hsa-mir-181a"
"hsa-mir-630",-0.891175776524101,6.59798643408703,-4.47771280748206,2.5327137467793e-05,0.00711692562844983,2.22514548879034,"Significantly downregulated","hsa-mir-630"
"hsa-mir-20a",-0.997870860677108,-9.26273635538665,-4.39172370368042,3.48336693167529e-05,0.00978826107800755,1.92281605007146,"Significantly downregulated","hsa-mir-20a"
"hsa-mir-95",1.16302765626279,-3.10520871064981,4.37010466021574,3.7720593953467e-05,0.0105994869009242,1.84735395459618,"Significantly upregulated","hsa-mir-95"
"hsa-miR-645",-1.27909141208694,3.72112558382387,-4.27825465611656,5.27817798212906e-05,0.0148316801297827,1.52926077908909,"Significantly downregulated","hsa-miR-645"
"hsa-mir-184",1.49256201473273,4.39246847356071,4.14753554458651,8.45763570528564e-05,0.0237659563318526,1.08376403814296,"Significantly upregulated","hsa-mir-184"
"hsa-mir-409-5p",1.56519542375839,3.4575978224053,4.09709528736971,0.000106714534979853,0.0299867843293386,0.916487159557568,"Significantly upregulated","hsa-mir-409-5p"
"hsa-mir-137",1.58686050107153,-6.17680980275508,4.04091522663618,0.000123500471562029,0.0347036325089301,0.726892938800994,"Significantly upregulated","hsa-mir-137"
"hsa-mir-520d",-1.08719912442851,7.45416040365335,-4.0103663604336,0.000140143061050398,0.0393802001551619,0.613546148657354,"Significantly downregulated","hsa-mir-520d"
"hsa-mir-188",-1.28489780372215,3.32472485643356,-3.97699444916393,0.000155972298641498,0.043828215918261,0.510029479517108,"Significantly downregulated","hsa-mir-188"
